source.message,dataset,timestamp,$workers.truncated,$workers.event.queue,$workers.event.batchSize,$workers.scriptName,$workers.outcome,$workers.eventType,$workers.scriptVersion.id,$workers.executionModel,$workers.requestId,$metadata.id,$metadata.requestId,$metadata.trigger,$metadata.service,$metadata.message,$metadata.account,$metadata.type,$metadata.fingerprint,$metadata.origin,$metadata.messageTemplate,$metadata.startTime,$metadata.endTime,$metadata.now
"[resolveConfig] Found global config for summary_gen: provider=volcengine, model=doubao-seed-2-0-pro-260215",cloudflare-workers,2026-04-28T00:51:58.043Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMVE,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,"[resolveConfig] Found global config for summary_gen: provider=volcengine, model=doubao-seed-2-0-pro-260215",2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,"[resolveConfig] Found global config for <*>: provider=volcengine, model=doubao-seed-2-0-pro-260215",undefined,undefined,undefined
"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",cloudflare-workers,2026-04-28T00:51:57.858Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMVD,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",undefined,undefined,undefined
✅ 设定 飞升台 摘要已生成 (241 字符),cloudflare-workers,2026-04-28T00:51:57.458Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMVC,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,✅ 设定 飞升台 摘要已生成 (241 字符),2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,✅ 设定 <*> 摘要已生成 (<*> 字符),undefined,undefined,undefined
"[resolveConfig] Found global config for summary_gen: provider=volcengine, model=doubao-seed-2-0-pro-260215",cloudflare-workers,2026-04-28T00:51:38.842Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMVB,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,"[resolveConfig] Found global config for summary_gen: provider=volcengine, model=doubao-seed-2-0-pro-260215",2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,"[resolveConfig] Found global config for <*>: provider=volcengine, model=doubao-seed-2-0-pro-260215",undefined,undefined,undefined
"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",cloudflare-workers,2026-04-28T00:51:38.621Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMVA,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",undefined,undefined,undefined
✅ 设定 血煞谷 摘要已生成 (237 字符),cloudflare-workers,2026-04-28T00:51:38.197Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMV9,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,✅ 设定 血煞谷 摘要已生成 (237 字符),2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,✅ 设定 <*> 摘要已生成 (<*> 字符),undefined,undefined,undefined
"[resolveConfig] Found global config for summary_gen: provider=volcengine, model=doubao-seed-2-0-pro-260215",cloudflare-workers,2026-04-28T00:51:18.459Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMV8,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,"[resolveConfig] Found global config for summary_gen: provider=volcengine, model=doubao-seed-2-0-pro-260215",2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,"[resolveConfig] Found global config for <*>: provider=volcengine, model=doubao-seed-2-0-pro-260215",undefined,undefined,undefined
"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",cloudflare-workers,2026-04-28T00:51:18.033Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMV7,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,"[resolveConfig] Looking for config: stage=summary_gen, novelId=9edbaf72878b52d0",undefined,undefined,undefined
✅ 设定 青玄宗山门 摘要已生成 (225 字符),cloudflare-workers,2026-04-28T00:51:16.985Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMV6,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,✅ 设定 青玄宗山门 摘要已生成 (225 字符),2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,✅ 设定 <*> 摘要已生成 (<*> 字符),undefined,undefined,undefined
"[resolveConfig] Found global config for summary_gen: provider=volcengine, model=doubao-seed-2-0-pro-260215",cloudflare-workers,2026-04-28T00:50:55.179Z,false,novelforge-tasks,1,novelforge,ok,queue,dc826b81-0d00-4b30-8c1e-fd007db33b20,stateless,LFSG1I1SWMJNN71P,01KQ8SAVMSEKEFPVG793RBXMV5,LFSG1I1SWMJNN71P,novelforge-tasks,novelforge,"[resolveConfig] Found global config for summary_gen: provider=volcengine, model=doubao-seed-2-0-pro-260215",2f24288827c6b14fac807324df3a4ac2,cf-worker,9c209a6c563f24a1e97d289cd2acd1ef,queue,"[resolveConfig] Found global config for <*>: provider=volcengine, model=doubao-seed-2-0-pro-260215",undefined,undefined,undefined
